Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
NHS Blood & Transplant,Special Health Authority,Department of Health,2087,1683.88,1199,1097.46,1679,1553.02,601,582.77,65,63.6,52,48.15,5683,5028.88,59,59,15,15,27,27,0,0,101,101,5784,5129.88,"£14,540,622","£899,234",£0,"£546,262","£2,034,380","£1,653,668","£19,674,166.52","£1,972,444",,"£1,972,443.76","£21,646,610.28",
NHS Business Services Authority,Special Health Authority,Department of Health,1814,1599.4,708,676.34,499,488.78,255,241.3,67,65.14,,,3343,3070.96,106,106,,,,,23,23,129,129,3472,3199.96,"£7,012,231","£16,155","£113,548","£105,299","£888,938","£659,298","£8,795,469.16","£531,124",,"£531,123.56","£9,326,592.72",
NHS England,Special Health Authority,Department of Health,100,87.18534,1072,1009.20633,1721,1656.10177,3245,3123.69648,871,834.76054,189,92.73639,7198,6803.68685,199,186.1,85,46.1,0,0,0,0,284,232.2,7482,7035.88685,"£27,990,909",0,0,0,"£3,756,282","£3,494,747","£35,241,937.98","£1,867,273",,"£1,867,273.43","£37,109,211.41",
NHS Litigation Authority,Special Health Authority,Department of Health,9,8,66,63.96,147,142.48,182,172.1799,9,9,0,0,413,395.6199,16,15.8,0,0,0,0,0,0,16,15.8,429,411.4199,"£1,504,482","£171,824",£0,£683,"£199,887","£188,357","£2,065,233.46",,,£0.00,"£2,065,233.46",
NHS Trust Development Authority,Special Health Authority,Department of Health,7,6.6,135,130.13334,259,252.61333,763,734.84027,390,373.67654,16,7.3,1570,1505.16348,,,,,,,,,0,0,1570,1505.16348,"£7,801,303","£374,650",£0,"£68,721","£1,027,036","£1,002,541","£10,274,251.00","£198,245",,"£198,244.60","£10,472,495.60",
Public Health England,Executive Agency,Department of Health,782,657.69,822,737.4,2515,2177.52,1793,1660.47,470,392.62,4,4,6386,5629.7,171,123.37,0,0,51,31.6,0,0,222,154.97,6608,5784.67,"£14,446,105","£9,128,824",£0,"£658,939","£4,914,682","£2,691,430","£31,839,979.08",,,£0.00,"£31,839,979.08","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
