Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
NHS Blood & Transplant,Special Health Authority,Department of Health,2057,1658.4,1222,1117.39,1689,1565.42,600,582.14,66,64.6,51,47.35,5685,5035.3,64,64,15,15,30,30,0,0,109,109,5794,5144.3,"£14,527,154","£936,332",£0,"£542,185","£2,037,629","£1,645,232","£19,688,531.68","£4,564,077",,"£4,564,077.31","£24,252,608.99",
NHS Business Services Authority,Special Health Authority,Department of Health,1798,1585.16,716,682.89,511,500.78,252,238.5,68,66.14,,,3345,3073.47,95,95,,,,,29,29,124,124,3469,3197.47,"£7,051,740","£14,266","£107,800","£114,487","£907,602","£663,439","£8,859,334.87","£556,711",,"£556,711.03","£9,416,045.90",
NHS England,Special Health Authority,Department of Health,100,87.38534,1099,1036.373,1754,1688.5351,3324,3203.57649,887,849.82054,191,92.92459,7355,6958.61506,188,176.11998,87,47.13413,0,0,0,0,275,223.25411,7630,7181.86917,"£32,479,394",0,0,0,"£4,189,946","£3,713,506","£40,382,847.17",,,£0.00,"£40,382,847.17",
NHS Litigation Authority,Special Health Authority,Department of Health,9,8,65,62.56,146,141.48,188,177.4226,9,9,0,0,417,398.4626,17,16.8,0,0,0,0,0,0,17,16.8,434,415.2626,"£1,523,746","£177,585",£0,"£1,142","£204,343","£186,056","£2,092,872.45",,,£0.00,"£2,092,872.45",
NHS Trust Development Authority,Special Health Authority,Department of Health,7,6.6,133,128.83334,256,248.81333,771,743.0336,391,374.77654,15,6.5,1573,1508.55681,,,,,,,,,0,0,1573,1508.55681,"£7,799,144","£378,268",£0,"£52,864","£1,031,696","£973,054","£10,235,026.00","£228,105",,"£228,104.53","£10,463,130.53",
Public Health England,Executive Agency,Department of Health,819,685.44,848,759.87,2515,2202.87,1765,1681.13,464,389.84,3,3,6414,5722.15,174,146.37,0,0,48,28.6,0,0,222,174.97,6636,5897.12,"£15,682,026","£7,975,110",£0,"£638,517","£4,959,326","£2,634,742","£31,889,720.57","£1,507,046",,"£1,507,046.44","£33,396,767.01","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
