Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",20,17,33,30,19,19,5,5,,,2,0.012,79,71,,,,,,,,,0,0,79,71,"£253,173.00","£19,465.00",£0.00,£0.00,"£63,272.00","£24,668.00","£360,578.00",,,£0.00,"£360,578.00",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",42,39.36,36,33.47,130,121.81,30,28.62,4,4,,,242,227,,,,,1,1,,,1,1,243,228,"£602,025.00","£12,733.00","£3,640.00","£1,608.00","£154,841.00","£42,166.00","£817,013.00","£9,072.00",,"£9,072.00","£826,085.00",,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",14,11.47,32,30.61,80,76.27,17,16.91,2,1.95,,,145,137,2,2,,,,,,,2,2,147,139,"£368,797.00","£2,524.00",,£696.00,"£91,440.00","£27,928.00","£491,385.00","£8,505.00",,"£8,505.00","£499,890.00",,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",27,22.78,10,9.03,152,134.48,75,68.14,29,28.39,,,293,263,5,4.5,,,,,,,5,4.5,298,267,"£851,770.53","£2,024.00",£0.00,"£2,592.33","£177,111.24","£72,541.32","£1,106,039.42","£28,926.08","£25,811.54","£54,737.62","£1,160,777.04",,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",518,480.2804,238,225.2425,668,640.61,89,88.8378,6,5.6757,,,"1,519","1,441",95,95,,,21,21,,,116,116,"1,635","1,557","£3,730,330.95","£7,881",£0.00,"£2,788.81","£777,744.39","£285,152.57","£4,803,897.95","£285,152.57",,"£285,152.57","£5,089,050.52",,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",256,234.29,2082,1816.02,1752,1610.81,187,172.77,14,14,,,"4,291","3,848",0,0,27,27,0,0,,,27,27,"4,318","3,875","£9,359,488.16","£235,780.04","£5,000.00","£190,709.40","£898,014.65","£794,345.54","£11,483,337.79","£645,671.95",£0.00,"£645,671.95","£12,129,009.74",,
Met Office,Executive Agency,"Department for Business, Innovation and Skills",,,,,,,,,,,2138,2054.7,"2,138","2,055",91,36.8,,,,,,,91,36.8,"2,229","2,092","£5,439,802.00","£331,985.00","£33,793.00","£191,440.00","£1,221,447.00","£466,296.00","£7,684,763.00","£606,335.00",,"£606,335.00","£8,291,098.00",,
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",255,236.1,399,381.3,1083,1056.8,138,130.4,92,87.1,27,13.2,"1,994","1,905",3,3,20,20,3,3,0,0,26,26,"2,020","1,931","£5,480,919.00","£342,875.00",£0.00,"£15,349.00","£717,316.00","£477,750.00","£7,034,209.00","£504,980.00",£0.00,"£504,980.00","£7,539,189.00",,
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",257,234.9,443,414.7,1150,1097.6,360,344.9,22,21.5,232,228,"2,464","2,342",9,9,,,1,1,,,10,10,"2,474","2,352","£7,415,369.54","£230,133.75","£182,477.19","£55,073.41","£1,904,272.75","£654,048.62","£10,441,375.26","£62,881.73","£19,119.85","£82,001.58","£10,523,376.84",,
National Measurement Office,Executive Agency,"Department for Business, Innovation and Skills",6,5.29,21,19.26,39,38.18,14,12.9,,,,,80,76,3,3,,,,,,,3,3,83,79,"£203,258.36",£146.25,£200.00,,"£42,424.82","£15,948.79","£261,978.22","£2,152.32","£30,650.00","£32,802.32","£294,780.54",,
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",0,0,2,1.6,12,10.68,5,4.5,2,1.6,0,0,21,18,1,1,0,0,0,0,0,0,1,1,22,19,"£62,996.52",£0.00,£0.00,£0.00,"£10,699.58","£5,071.23","£78,767.33","£3,012.48",£0.00,"£3,012.48","£81,779.81",All existing specialist contractor contracts were terminated on May 1st 2015,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation and Skills",85,80.65,1,1,686,667.8,101,100.78,25,24,,,898,874,21,21,,,40,40,56,56,117,117,"1,015",991,"£2,884,225.39","£121,177.69",£0.00,£458.13,"£625,277.89","£258,839.07","£3,889,978.17",£0.00,"£717,712.00","£717,712.00","£4,607,690.17",,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",1884,1761.661387,732,697.1935733,109,105.98,20,19.4,5,5,7,0.96,"2,757","2,590",179,179,,,12,12,,,191,191,"2,948","2,781","£4,613,219.53","£147,853.43","£8,586.75","£157,300.69","£532,496.49","£346,108.28","£5,805,565.17","£435,602.19",£0.00,"£435,602.19","£6,241,167.36",,
Science and Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",131,125.89,263,251.35,1058,1033.97,345,334.43,35,32.42,55,55,"1,887","1,833",9,9,,,62,62,,,71,71,"1,958","1,904","£5,446,614.11","£212,853.56","£120,323.27","£109,296.94","£1,379,731.48","£506,581.72","£7,775,401.08",,"£184,662.00","£184,662.00","£7,960,063.08",,
Technology Strategy Board (Innovate UK),Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",,,61,61,48,48,194,194,7,7,,,310,310,22,22,,,,,,,22,22,332,332,"£1,207,201.44","£244,867.66",£0.00,£0.00,"£287,928.21","£141,739.00","£1,881,736.31","£147,501.89",,"£147,501.89","£2,029,238.20",,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",52,49.32,94,91.57,372,367.76,128,125.39,9,9,19,19,674,662,4,4,0,0,413,413,0,0,417,417,"1,091","1,079","£2,431,224.00",£0.00,"£21,434.00","£26,339.00","£358,868.00","£250,598.00","£3,088,463.00","£1,485,959.00",£0.00,"£1,485,959.00","£4,574,422.00",,
UK Commission for Employment and Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",23,22.3,13,12.8,56,54.3,14,13.7,5,5,0,0,111,108,1,1,0,0,2,2,0,0,3,3,114,111,"£350,589.67",£0.00,£0.00,£0.00,"£66,858.16","£30,530.07","£447,977.90","£20,268.54",£0.00,"£20,268.54","£468,246.44",,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation and Skills",229,205.3,301,285.3,311,302.98,247,232.58,26,25.55,,,"1,114","1,052",7,7,,,29,29,,,36,36,"1,150","1,088","£2,751,911.00","£127,883.00","£2,254.00","£82,774.00","£589,240.00","£225,466.00","£3,779,528.00","£327,532.00",,"£327,532.00","£4,107,060.00",,
UK Space Agency,Executive Agency,"Department for Business, Innovation and Skills",3,3,5,5,27,26.6,30,28.88,5,4.7,,,70,68,,,,,1,0.4,,,1,0.4,71,69,"£227,509.67","£2,329.81",£250.00,£0.00,"£47,974.90","£19,142.46","£297,206.84","£1,512.00",£0.00,"£1,512.00","£298,718.84",,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
