Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,0,0,18,17.72,0,0,0,0,0,0,1,1,1,1,19,18.72," £71,094.61 ",," £10,122.00 ",," £15,370.01 "," £9,501.67 "," £106,088.29 ", £-   ," £3,675.00 "," £3,675.00 "," £109,763.29 ",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,34,31.71,80,76.21,17,16.53,0,0.00,0,0.00,146,137.99,0,0.00,0,0.00,0,0.00,0,0.00,0,0,146,138," £366,723.83 "," £4,197.37 ", £400.00 , £-   ," £94,404.17 "," £34,953.77 "," £500,679.14 ", £-   , £-   , £-   ," £500,679.14 ",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",59,54.49,37,33.95,151,142.92,38,36.39,3,3.00,0,0.00,288,270.75,0,0.00,0,0.00,0,0.00,0,0.00,0,0,288,271," £751,402.12 "," £14,226.99 "," £4,500.00 ", £900.78 ," £197,223.05 "," £76,631.59 "," £1,044,884.53 ", £-   , £-   , £-   ," £1,044,884.53 ",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",739,710.29,"2,145","1,871.64","1,748","1,588.78",206,189.85,19,18.92,0,0.00,"4,857","4,379.48",0,0.00,27,27.00,0,0.00,0,0.00,27,27,"4,884","4,406","£10,357,629.55"," £238,546.73 ", £-   ," £529,035.29 "," £2,185,791.19 "," £1,160,935.54 "," £14,471,938.30 "," £234,381.65 ","-£93,152.25 "," £141,229.40 "," £14,613,167.70 ",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,62,62.00,84,84.00,189,189.00,13,13.00,0,0.00,348,348.00,26,26.00,0,0.00,0,0.00,0,0.00,26,26,374,374,"£1,194,877.85","£171,775.13",£0.00,£0.00,"£305,874.64","£164,745.77","£1,837,273.39","£167,352.08",£0.00,"£167,352.08","£2,004,625.47",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",520,485.43,196,187.80,682,652.15,113,110.21,10,10.00,0,0.00,"1,521","1,445.59",46,46.00,0,0.00,9,9.00,0,0.00,55,55,"1,576","1,501"," £3,849,032.00 "," £10,255.00 "," £6,200.00 "," £27,278.00 "," £793,777.00 "," £403,508.00 "," £5,090,050.00 "," £338,951.00 ", £-   ," £338,951.00 "," £5,429,001.00 ",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",187,167.51,374,349.33,322,311.25,281,262.97,26,26.00,0,0.00,"1,190","1,117.06",40,40.00,0,0.00,15,15.00,0,0.00,55,55,"1,245","1,172"," £3,129,689.00 "," £141,516.00 "," £15,407.00 "," £42,881.00 "," £701,046.00 "," £348,363.00 "," £4,378,902.00 "," £298,362.00 ", £-   ," £298,362.00 "," £4,677,264.00 ",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",203,187.00,281,269.00,802,785.00,108,103.00,71,67.00,31,19.00,"1,496","1,430.00",7,7.00,19,19.00,1,1.00,0,0.00,27,27,"1,523","1,457"," £4,208,018.00 "," £264,938.00 ", £-   ," £13,168.00 "," £576,363.00 "," £487,545.00 "," £5,550,032.00 "," £158,332.00 ", £-   ," £158,332.00 "," £5,708,364.00 ",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,1998,1909.6,1998,1909.6,11,7.9,0,0,65,54,9,6,85,67.9,2083,1977.5," £5,045,329.00 "," £271,814.00 ", £-   ," £152,787.00 "," £113,234.00 "," £554,848.00 "," £6,138,012.00 "," £514,267.00 ", £-   ," £514,267.00 "," £6,652,279.00 ",,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",230,198.40,414,385.80,"1,216","1,157.00",363,346.90,23,22.70,318,313.30,"2,564","2,424.10",6,5.70,0,0.00,2,2.00,0,0.00,8,8,"2,572","2,432"," £131,059.38 "," £156,473.82 "," £23,280.86 "," £19,800.17 "," £1,685,853.91 "," £713,227.79 "," £2,729,695.93 "," £119,711.25 ", £-   ," £119,711.25 "," £2,849,407.18 ",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,219,209,219,209,6,6,23,23,0,0,0,0,29,29,248,238," £1,174,029.00 "," £61,977.00 "," £284,972.00 ", £-   ," £243,120.00 "," £181,390.00 "," £1,945,488.00 "," £190,567.00 ", £-   ," £190,567.00 "," £2,136,055.00 ",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",152,145.86,286,275.97,"1,173","1,138.77",393,378.20,40,36.78,54,54.00,"2,098","2,029.58",26,26.00,0,0.00,36,36.00,0,0.00,62,62,"2,160","2,092"," £6,194,536.00 "," £376,146.39 ", £-   ," £87,190.70 "," £1,612,472.00 "," £705,414.31 "," £8,975,759.40 "," £218,624.40 ", £-   ," £218,624.40 "," £9,194,383.80 ",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,55.12,101,97.82,481,472.80,160,155.30,10,10.00,34,34.00,844,825.04,4,4.00,0,0.00,333,333.00,0,0.00,337,337,"1,181","1,162"," £3,022,897.40 ", £-   ," £121,699.76 "," £89,756.25 "," £511,780.65 "," £369,566.01 "," £4,115,700.07 "," £1,586,397.04 ", £-   ," £1,586,397.04 "," £5,702,097.11 ",Allowances included within salary costs.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,6,6,55,53.55,51,48.66,7,6.1,0,0,121,116.31,2,1.1,0,0,6,5.3,0,0,8,6.4,129,122.71," £469,160.39 "," £4,057.83 ", £500.00 , £-   ," £93,941.21 "," £53,347.37 "," £621,006.80 "," £66,674.92 ", £-   ," £66,674.92 "," £687,681.72 ",,,,
