Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,15,13.7,40,39.6,15,14.6,3,3.00,2,1.40,0,0.00,75,72.30,11,11.00,0,0.00,0,0.00,0,0.00,11,11.00,86,83.30,"£182,265","£19,800",£0,"£3,456","£29,982","£17,465","£252,968","£32,000",(..) ,(..) ,"£252,968",
Probation Trusts x35,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18030,16256,"18,030","16,256.00",1349,1349,6,6,(..) ,(..) ,(..) ,(..) ,1355,1355.00,"19,385","17,611.00",(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,£0,(..) ,(..) ,(..) ,£0,"STAFFING NUMBERS UN-VALIDATED

The 35 trusts are independent bodies that are contracted to provide probation services to NOMS. They have their own grading structure which is not directly translatable to the Civil Service grades. All payroll probation staff have therefore been entered under the 'other' category.  The Probation Service staffing figures provided relate to a snapshot of the number of staff employed and funded by the probation trusts at the end of the last day of the reporting period. 

Please note, not all of the trusts were able to submit data for this month due to local resourcing issues and 
therefore the most recent data they had submitted has 
been used. The trusts that fall in this category are 
Cheshire and Warwickshire (July 2013 figures included 
for both).                                                                                                                                                                                                                                       "
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,16,15.35,44,42.66,110,107.33,39,37.86,5,4.60,10,1.61,224,209.41,2,2.00,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,2,2.00,226,211.41,"£652,625","£56,969",£0,"£3,635","£132,424","£58,898","£904,551","£6,864",(..) ,(..) ,"£904,551",The 'Other' Grade columns refer to the YJBs Board members. In previous months these have been reported as full-time however they are not. As a consequence from this month onwards the HC reflects the number of Board members employed as at the end of every month and the FTE reflects the time worked in the month being reported.
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,15,14.35,43,41.66,112,108.99,40,38.86,5,4.60,9,9.00,224,217.46,4,4.00,0,0.00,0,0.00,0,0.00,4,4.00,228,221.46,"£609,158.31","£56,419.67",(..),"£3,006.25","£128,042.77","£58,562.23","£855,189.23",(..),(..),£0.00,"£855,189.23",



Key 
(..) Not available
(.) Not applicable
