Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",3,3.00,3,3.00,7,6.72,4,4.00,1,1.00,0,0.00,18,17.72,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18,18,"£64,512.97",£0.00,£0.00,£0.00,"£13,908.09","£4,094.14","£82,515.20",£0.00,"£3,950.00","£3,950.00","£86,465.20",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,35,34.45,85,79.42,17,16.72,4,4.00,0,0.00,156,148.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0,156,148,"£405,465.55","£2,433.06",£300.00,£562.77,"£103,650.80","£39,258.92","£551,671.10",£0.00,£0.00,£0.00,"£551,671.10",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",65,60.64,38,35.64,157,147.97,32,31.14,4,4.00,0,0.00,296,279.39,0,0.00,0,0.00,1,1.00,0,0.00,1,1,297,280,"£738,633.64","£11,677.50","£7,483.00","£2,656.33","£192,882.00","£72,225.00","£1,025,557.47","£1,826.82",£0.00,"£1,826.82","£1,027,384.29",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",723,695.40,"2,161","1,882.65","1,732","1,580.14",211,196.34,16,16.00,0,0.00,"4,843","4,370.53",0,0.00,20,20.00,0,0.00,0,0.00,20,20,"4,863","4,391"," £10,434,230.19 "," £203,764.64 ", £589.80 ," £743,981.01 "," £2,160,324.80 "," £1,085,486.02 "," £14,592,840.46 "," £138,190.92 "," £24,000.00 "," £162,190.92 "," £14,755,031.38 ",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,45,45.00,67,67.00,172,172.00,10,10.00,0,0.00,294,294.00,16,16.00,0,0.00,0,0.00,0,0.00,16,16,310,310,"£1,154,636.44","£153,333.67",£0.00,£0.00,"£286,639.67","£151,906.17","£1,746,515.95","£51,012.50",£0.00,"£51,012.50","£1,797,528.45",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",482,448.29,187,179.13,615,585.72,95,93.00,8,8.00,0,0.00,"1,387","1,314.14",38,38.00,0,0.00,8,8.00,0,0.00,46,46,"1,433","1,360","£3,483,486.00","£11,043.00","£5,000.00","£26,408.00","£712,183.00","£355,838.00","£4,593,958.00","£233,762.00",£0.00,"£233,762.00","£4,827,720.00",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",186,166.55,388,364.43,302,293.60,274,256.41,25,25.00,0,0.00,"1,175","1,105.99",28,28.00,0,0.00,6,6.00,0,0.00,34,34,"1,209","1,140","£3,012,912.00","£141,667.00",£0.00,£0.00,"£680,309.00","£270,587.00","£4,105,475.00","£63,344.00",£0.00,"£63,344.00","£4,168,819.00",Our Finance Directorate has informed me that year end accounts are still being completed and these figures may be subject to change.,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",219,201.00,336,320.00,891,873.00,122,117.00,83,78.00,31,19.00,"1,682","1,608.00",10,10.00,20,20.00,2,2.00,0,0.00,32,32,"1,714","1,640","£5,384,795.00","£324,426.00",£0.00,"£10,120.00","£650,833.00","£611,623.00","£6,981,797.00","£248,664.00",£0.00,"£248,664.00","£7,230,461.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,096","2,005.80","2,096","2,005.80",14,10.10,0,0.00,34,30.60,0,0.00,48,41,"2,144","2,047","£5,526,438.00","£289,134.00",£0.00,"£137,357.00","£1,229,219.00","£602,455.00","£7,784,603.00","£186,707.00",£0.00,"£186,707.00","£7,971,310.00",,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",232,201.00,405,377.60,"1,193","1,137.00",362,344.70,23,22.70,225,221.80,"2,440","2,304.80",7,6.70,0,0.00,2,2.00,0,0.00,9,9,"2,449","2,314","£6,556,481.47","£318,551.79","£27,428.60","£22,942.73","£1,674,379.28","£692,018.92","£9,291,802.79","£29,513.52",£0.00,"£29,513.52","£9,321,316.31",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,217,208.24,217,208.24,4,4.00,23,23.00,3,3.00,0,0.00,30,30,247,238,"£1,155,248.00","£81,567.00","£250,000.00",£0.00,"£239,144.00","£149,746.00","£1,875,705.00","£250,000.00",£0.00,"£250,000.00","£2,125,705.00",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",155,147.33,273,263.79,"1,137","1,109.49",394,378.33,39,37.28,59,59.00,"2,057","1,995.22",3,3.00,0,0.00,32,32.00,0,0.00,35,35,"2,092","2,030","£6,094,651.00","£362,317.82","£5,600.00","£83,394.36","£1,577,494.00","£697,555.64","£8,821,012.82","£189,546.00",£0.00,"£189,546.00","£9,010,558.82",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,52.39,84,80.21,426,419.11,152,147.69,10,10.00,25,25.00,753,734.40,5,5.00,0,0.00,343,343.00,0,0.00,348,348,"1,101","1,082","£2,880,000.00",£0.00,"£90,000.00","£70,000.00","£490,000.00","£340,000.00","£3,870,000.00","£1,489,231.55",£0.00,"£1,489,231.55","£5,359,231.55",Allowances are included in salary costs. Employee costs are estimates for this month.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1,5,5,36,36,45,43.24,7,6.1,0,0,94,91,4,4,0,0,4,3.45,0,0,8,7.45,102,99,"£333,546.63","£4,710.08","£1,650.00",£0.00,"£70,938.69","£37,522.13"," £448,367.53 ","£51,852.62",£0.00," £51,852.62 "," £500,220.15 ",,,,
