Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4.00,2,2.00,5,4.72,7,7.00,1,1.00,0,0.00,19,18.72,0,0.00,0,0.00,0,0.00,0,0.00,0,0,19,19,65481.62,,6250,,14101.67,8090.32,93923.61,,5525,5525,99448.61,,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,37,34.45,84,79.33,15,14.72,1,1.00,0,0.00,152,143.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0,152,143,"£393,117.40","£2,964.25",£200.00,£0.00,"£100,070.66","£36,220.02","£532,572.33",£0.00,£0.00,£0.00,"£532,572.33",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",70,65.08,33,30.83,153,144.68,38,36.06,4,4.00,0,0.00,298,280.65,0,0.00,0,0.00,1,1.00,0,0.00,1,1,299,282,"£752,448.67","£14,736.73","£1,400.00","£2,552.38","£196,658.79","£73,930.63","£1,041,727.20","£2,256.66",£0.00,"£2,256.66","£1,043,983.86",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",724,698.1,2114,1839.0,1744,1588.6,212,197.3,16,16,0,0,"4,810","4,338.93",0,0,19,19.00,0,0.00,0,0,19,19.00,"4,829","4,358","£10,383,323.61","£214,330.34",£0.00,"£917,097.28","£2,177,967.00","£1,171,742.17","£14,864,460.40","£199,249.00","£22,619.00","£221,868.00","£15,086,328.40",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,45,45.00,70,70.00,178,178.00,11,11.00,0,0.00,304,304.00,15,15.00,0,0.00,0,0.00,0,0.00,15,15,319,319,"£1,159,355.53","-£28,541.74",£0.00,£0.00,"£291,500.27","£128,180.42","£1,550,494.48","£1,330,305.34",£0.00,"£1,330,305.34","£2,880,799.82",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",483,448.19,195,187.29,666,637.09,114,111.01,10,10.00,0,0.00,"1,468","1,393.58",54,54.00,0,0.00,9,9.00,0,0.00,63,63,"1,531","1,457","£3,721,428.00","£9,490.00",£0.00,"£19,396.00","£776,612.00","£387,882.00","£4,914,808.00","£271,372.00",£0.00,"£271,372.00","£5,186,180.00",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",186,166.55,388,364.43,302,293.60,274,256.41,25,25.00,0,0.00,"1,175","1,105.99",28,28.00,0,0.00,6,6.00,0,0.00,34,34,"1,209","1,140","£3,012,912.00","£141,667.00",£0.00,£0.00,"£680,309.00","£270,587.00","£4,105,475.00","£63,344.00",£0.00,"£63,344.00","£4,168,819.00",Year end accounts are still being completed and these figures may be subject to change.,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",212,194.00,312,297.00,871,852.00,115,110.00,79,74.00,29,18.00,"1,618","1,545.00",5,5.00,18,18.00,1,1.00,0,0.00,24,24,"1,642","1,569","£4,604,357.00","£279,288.00",£0.00,"£14,121.00","£618,809.00","£509,225.00","£6,025,800.00","£473,160.00",£0.00,"£473,160.00","£6,498,960.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,121","2,029.70","2,121","2,029.70",12,7.50,0,0.00,41,38.10,7,5.40,60,51,"2,181","2,081","£5,532,179.00","£275,300.00","£17,592.00","£145,119.00","£1,226,619.00","£1,137,824.00","£8,334,633.00","£437,284.00",£0.00,"£437,284.00","£8,771,917.00",Met Office do not use Grades.,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",230,197.60,424,394.60,"1,203","1,148.20",362,344.30,23,22.70,226,223.20,"2,468","2,330.60",8,7.70,0,0.00,2,2.00,0,0.00,10,10,"2,478","2,340","£6,591,542.43","£242,292.24","£8,345.36","£32,770.52","£1,695,577.37","£691,067.64","£9,261,595.56","£110,178.40",£0.00,"£110,178.40","£9,371,773.96",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,219,209.94,219,209.94,4,4,22,22,2,2,,,6,6.00,225,216,1124826.97,79407.78,280772.1,,237455.26,178766.15,"£1,901,228.26",172685.58,1505249.95,"£1,677,935.53","£3,579,163.79",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",151,144.16,273,263.31,"1,147","1,117.51",393,377.42,39,37.28,73,73.00,"2,076","2,012.68",4,4.00,0,0.00,29,29.00,0,0.00,33,33,"2,109","2,046","£6,113,610.00","£366,330.30",£0.00,"£92,659.23","£1,574,765.00","£693,938.69","£8,841,303.22","£88,801.74",£0.00,"£88,801.74","£8,930,104.96",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.39,84,80.21,438,430.71,156,151.50,10,10.00,26,26.00,772,752.81,4,4.00,0,0.00,335,335.00,0,0.00,339,339,"1,111","1,092","£2,433,936.24",£0.00,"£121,485.68","£54,043.14","£350,514.40","£315,365.25","£3,275,344.71","£1,254,948.94",£0.00,"£1,254,948.94","£4,530,293.65",Allowances included within Salary costs.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,5,5,41,39.95,49,47.24,7,6.1,,,104,100,3,3,0,0,6,5.75,0,0,9,8.75,113,109,"£371,433.32","£8,158.81",£400.00,£0.00,"£79,350.45","£42,056.77","£501,399.35","£60,580.82",£0.00,"£60,580.82","£561,980.17",,,,
