Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,,,18,17.72,,,,,,,1,1,1,1,19,19,"£64,134.19",,,,"£13,820.05","£7,144.28","£85,098.52",,,£0.00,"£85,098.52",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,37,34.45,78,74.03,18,17.53,0,0.00,0,0.00,148,139.55,0,0.00,0,0.00,0,0.00,0,0.00,0,0,148,140,"£382,336.81","£4,971.17","£24,050.00",£0.00,"£98,176.05","£37,879.36","£547,413.39",£0.00,£0.00,£0.00,"£547,413.39",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",66,61.27,38,35.64,153,144.78,39,37.06,4,4.00,0,0.00,300,282.75,0,0.00,0,0.00,0,0.00,0,0.00,0,0,300,283,"£772,034.33","£17,057.01","£20,650.00","£2,666.27","£203,041.14","£76,255.68","£1,091,704.43",£0.00,£0.00,£0.00,"£1,091,704.43",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",759,733.91,"2,107","1,834.33","1,748","1,590.22",210,194.33,18,18.00,0,0.00,"4,842","4,370.79",0,0.00,25,25.00,0,0.00,0,0.00,25,25,"4,867","4,396","£10,342,770.00","£235,488.36","£3,115,031.41","£803,544.48","£2,176,249.28","£1,559,407.36","£18,232,490.89","£179,920.69","£54,448.17","£234,368.86","£18,466,859.75",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,46,46.00,79,79.00,179,179.00,13,13.00,0,0.00,317,317.00,20,20.00,0,0.00,0,0.00,0,0.00,20,20,337,337,"£1,192,645.84","£154,498.35",£0.00,£0.00,"£293,726.80","£157,324.91","£1,798,195.90",£0.00,"-£80,202.63","-£80,202.63","£1,717,993.27",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",510,474.85,199,190.80,667,637.70,113,109.93,10,10.00,0,0.00,"1,499","1,423.28",45,45.00,0,0.00,9,9.00,0,0.00,54,54,"1,553","1,477","£3,774,011.00","£9,704.00","£13,300.00","£12,820.00","£857,797.00","£426,881.00","£5,094,513.00","£400,864.00",£0.00,"£400,864.00","£5,495,377.00",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",178,158.85,373,348.44,324,313.61,275,256.87,26,26.00,0,0.00,"1,176","1,103.77",40,40.00,0,0.00,12,12.00,0,0.00,52,52,"1,228","1,156","£3,171,034.00","£142,266.00","£6,013.00","£43,126.00","£708,025.00","£356,110.00","£4,426,574.00","£211,676.00",£0.00,"£211,676.00","£4,638,250.00",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",216,201.00,291,277.00,810,792.00,107,102.00,75,70.00,28,19.00,"1,527","1,461.00",5,5.00,19,19.00,1,1.00,0,0.00,25,25,"1,552","1,486","£4,295,939.00","£274,843.00","£2,450.00","£10,260.00","£575,287.00","£466,184.00","£5,624,963.00","£371,366.00",£0.00,"£371,366.00","£5,996,329.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,2032,1947,2032,1947,13,9.9,0,0,52,51,9,7,74,67.9,2106,2014.9,"£5,330,873.00","£247,568.00","£6,250.00","£148,665.00","£1,171,238.00","£57,835.00","£6,962,429.00","£508,687.00",£0.00,"£508,687.00","£7,471,116.00",,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",236,202.70,414,385.80,"1,208","1,150.50",359,340.80,23,22.70,248,245.80,"2,488","2,348.30",7,6.70,0,0.00,2,2.00,0,0.00,9,9,"2,497","2,357","£6,576,501.89","£165,768.28","£39,847.36","£22,711.42","£1,668,201.08","£671,577.45","£9,144,607.48","£67,351.58",£0.00,"£67,351.58","£9,211,959.06",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,220,209.65,220,209.65,0,0.00,24,24.00,1,1.00,0,0.00,25,25,245,235,"£1,109,688.93","£63,344.76","£276,979.40",£0.00,"£238,467.40","£173,129.29","£1,861,609.78","£197,958.37",£0.00,"£197,958.37","£2,059,568.15",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",149,142.82,273,263.60,"1,158","1,125.24",391,375.23,38,35.78,100,100.00,"2,109","2,042.67",26,26.00,0,0.00,34,34.00,0,0.00,60,60,"2,169","2,103","£6,203,482.00","£355,888.13",£0.00,"£90,457.35","£1,591,721.00","£700,565.50","£8,942,113.98","£227,517.23",£0.00,"£227,517.23","£9,169,631.21",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.58,97,93.61,456,447.26,157,152.50,10,10.00,24,24.00,802,781.95,4,4.00,0,0.00,340,340.00,0,0.00,344,344,"1,146","1,126","£2,829,184.78",£0.00,"£189,831.56","£60,869.74","£470,181.64","£333,502.36","£3,883,570.08","£1,465,589.18",£0.00,"£1,465,589.18","£5,349,159.26",Allowances included within salary costs.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,6,6,52,50.55,49,45.66,7,6.1,0,0,116,110.31,1,1,0,0,4,3.2,0,0,5,4,121,115,"£393,521.47","£4,609.58",£350.00,£0.00,"£83,796.44","£43,921.93","£526,199.42","£37,058.46",£0.00,"£37,058.46","£563,257.88",,,,
