Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,5,4.72,7,7,1,1,,,19,18.72,,,,,,,1,1,1,1,20,19.72,"£65,487.92",,,,"£14,102.98","£7,211.55","£86,802.45",,"£1,200.00","£1,200.00","£88,002.45",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,39,36.45,81,76.33,17,16.72,1,1.00,0,0.00,153,144.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0,153,144,"£387,045.38","£5,563.58","£1,000.00",£0.00,"£99,747.78","£37,200.07","£530,556.81",£0.00,£0.00,£0.00,"£530,556.81",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",69,64.08,35,32.83,153,143.68,38,37.06,4,4.00,0,0.00,299,281.65,0,0.00,0,0.00,0,0.00,0,0.00,0,0,299,282,"£747,805.57","£13,704.07","£17,450.00","£1,060.86","£195,499.02","£70,484.77","£1,046,004.29",£0.00,£0.00,£0.00,"£1,046,004.29",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",770,743.73,2113,1840.28,1744,1586.86,211,196.28,16,16,0,0,"4,854","4,383.15",0,0,22,22.00,0,0.00,0,0,22,22.00,"4,876","4,405","£10,393,627.53","£231,397.99","£1,000.00","£775,146.43","£2,181,604.11","£1,140,735.08","£14,723,511.14","£191,937.74","£132,771.96","£324,709.70","£15,048,220.84",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,44,44.00,76,76.00,178,178.00,13,13.00,0,0.00,311,311.00,18,18.00,0,0.00,0,0.00,0,0.00,18,18,329,329,"£1,197,885.28","£120,326.75",£0.00,£0.00,"£298,533.73","£153,386.11","£1,770,131.87","-£336,268.56",£0.00,"-£336,268.56","£1,433,863.31",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",479,444.98,198,190.29,661,632.12,115,112.01,10,10.00,0,0.00,"1,463","1,389.40",58,58.00,0,0.00,9,9.00,0,0.00,67,67,"1,530","1,456","£3,715,429.00","£8,821.00","£1,000.00","£14,884.00","£770,134.00","£395,116.00","£4,905,384.00","£171,326.00",£0.00,"£171,326.00","£5,076,710.00",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",276,162.12,376,351.97,318,308.41,276,258.6,26,26,0,0,1272,1107.1,41,41,0,0,13,13,0,0,54,54,1326,1161.1,"£3,068,589.00","£141,111.00","£3,557.00","£58,217.00","£692,831.00","£367,475.00","£4,331,780.00","£227,466.00",£0.00,"£227,466.00","£4,559,246.00",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",220,204.00,291,277.00,812,794.00,108,103.00,75,70.00,28,17.00,"1,534","1,465.00",6,6.00,18,18.00,1,1.00,0,0.00,25,25,"1,559","1,490","£4,310,524.00","£281,693.00",£0.00,"£11,036.00","£581,632.00","£472,814.00","£5,657,699.00","£228,029.00",£0.00,"£228,029.00","£5,885,728.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,032","1,948.50","2,032","1,948.50",11,7.50,0,0.00,48,44.90,8,7.00,67,59,"2,099","2,008","£5,552,292.00","£292,174.00",£0.00,"£125,295.00","£1,222,032.00","£608,148.00","£7,799,941.00","£512,839.00",£0.00,"£512,839.00","£8,312,780.00",Met Office do not use Grades. ,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",233,200.60,426,397.70,"1,195","1,139.00",362,343.50,23,22.70,235,231.20,"2,474","2,334.70",8,7.70,0,0.00,2,2.00,0,0.00,10,10,"2,484","2,344","£6,666,398.00","£200,851.99","£22,383.24","£23,608.18","£1,694,892.43","£689,566.37","£9,297,700.21","£106,984.37",£0.00,"£106,984.37","£9,404,684.58",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,217,208.24,217,208.24,4,4,23,23,3,3,0,0,30,30,247,238.24,"£1,155,248.00","£81,567.00","£250,000.00",£0.00,"£239,144.00","£149,746.00","£1,875,705.00","£250,000.00",£0.00,"£250,000.00","£2,125,705.00",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,143.14,273,263.36,"1,154","1,122.18",389,373.58,38,35.78,117,117.00,"2,121","2,055.04",3,3.00,0,0.00,31,31.00,0,0.00,34,34,"2,155","2,089","£6,193,245.00","£323,320.10",£0.00,"£93,746.32","£1,568,034.00","£688,769.90","£8,867,115.32","£164,540.00",£0.00,"£164,540.00","£9,031,655.32",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,52.39,90,86.21,452,444.44,157,152.50,10,10.00,24,24.00,789,769.54,4,4.00,0,0.00,347,347.00,0,0.00,351,351,"1,140","1,121","£2,857,363.82",£0.00,"-£450,313.77","£65,072.61","£742,124.35","£345,642.70","£3,559,889.71","£1,597,334.48",£0.00,"£1,597,334.48","£5,157,224.19",Non-consolidated performance payments are accrued during the year.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,6,6,49,47.95,49,47.24,7,6.1,0,0,113,109,2,2,0,0,5,4.45,0,0,7,6.45,120,116,"£387,013.36","£4,731.58","£1,750.00",£0.00,"£83,072.86","£43,064.09","£519,631.89","£43,155.91",£0.00,"£43,155.91","£562,787.80",,,,
