Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,,,18.0,17.7,,,,,,,1,1,0,0,18.0,17.7,"£65,366.93",,,,"£14,094.50","£7,314.41","£86,775.84",,"£2,825.00","£2,825.00","£86,775.84",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.14,32,29.51,89,85.1,15,15.33,,,,,150.0,142.1,,,,,,,,,0,0,150.0,142.1,"£379,142.91","£4,799.48",,,"£100,102.03","£34,434.14","£518,478.56",,,,"£518,478.56",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",54,50.16,37,33.79,144,136.36,41,38.45,3,3.00,0,0.00,279.0,261.8,0,0.00,0,0.00,0,0.00,0,0.00,0,0,279.0,261.8,"£750,306.80","£12,894.74","£2,300.00","£1,548.27","£200,105.05","£75,321.18","£1,042,476.04",,,,"£1,042,476.04",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)","1,052","1,022.36","2,139","1,863.54","1,776","1,612.35",211,195.38,19,18.92,0,0.00,"5,197","4,712.55",0,0.00,30,30.00,0,0.00,0,0.00,30,30,"5,227","4,743","£10,931,536.13","£238,357.54",,"£590,978.66","£2,300,027.72","£1,188,960.49","£15,249,860.54","£253,100.91",,"£253,100.91","£15,249,860.54",
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,61,61.00,90,90.00,196,196.00,13,13.00,0,0.00,360.0,360.0,22,22.00,0,0.00,0,0.00,0,0.00,22,22,382.0,382.0,"£1,369,669.86","£153,472.35",,,"£332,215.64","£175,815.16","£2,031,173.01","£336,035.60",,"£336,035.60","£2,031,173.01",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",524,489.82,193,185.61,725,693.38,114,110.81,10,10.00,0,0.00,1566.0,1489.6,57,57.00,0,0.00,15,15.00,0,0.00,72,72,1638.0,1561.6,"£3,965,094.00","£14,846.00","£64,650.00","£31,358.00","£820,123.00","£416,617.00","£5,312,688.00","£269,593.00",,"£269,593.00","£5,312,688.00",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",193,174.23,366,341.08,344,332.82,282,264.59,27,27,,,1212.0,1139.7,33,33,,,12,12,,,45,45,1257.0,1184.7,"£3,166,517.00","£141,540.00","£14,208.00","£30,372.00","£704,618.00","£352,698.00","£4,409,953.00","£474,689.00",,"£474,689.00","£4,409,953.00",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",195,180.00,281,269.00,776,758.00,102,98.00,70,66.00,23,11.00,"1,447","1,382.00",5,5.00,20,20.00,2,2.00,1,1.00,28,28,"1,475","1,410","£4,236,732.00","£287,984.00",,"£11,335.00","£568,655.00","£470,223.00","£5,574,929.00","£163,442.00",,"£163,442.00","£5,738,371.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",231,199.00,411,381.70,"1,234","1,174.40",323,307.00,22,21.70,325,322.30,2546.0,2406.1,2,1.70,0,0.00,2,2.00,0,0.00,4,3.7,2550.0,2409.8,"£5,971,507.75","£251,121.69","£21,291.36","£27,626.36","£1,475,735.82","£625,398.98","£8,372,681.96","£80,722.33",,"£80,722.33","£8,372,681.96",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,220,210,220.0,210.0,5,5,29,29,,,,,5,5,225.0,215.0,"£1,136,702.00","£62,739.00","£284,685.00",,"£235,703.00","£176,880.00","£1,896,709.00","£287,756.00",,"£287,756.00","£1,896,709.00",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",152,145.05,301,290.65,"1,172","1,137.21",404,388.17,40,34.78,59,59.00,2128.0,2054.9,37,37.00,0,0.00,37,37.00,0,0.00,74,74,2202.0,2128.9,"£6,254,475.00","£393,773.73","£1,475.00","£89,596.58","£1,631,601.00","£710,340.41","£9,081,261.72","£223,704.41",,"£223,704.41","£9,081,261.72",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,52.80,106,102.49,494,485.60,166,161.10,10,10.00,34,34.00,866.0,846.0,4,4.00,0,0.00,323,323.00,0,0.00,327,327,1193.0,1173.0,"£2,995,240.83",,"£105,533.94","£56,455.84","£516,334.15","£380,218.97","£4,053,783.73","£1,285,876.18",,"£1,285,876.18","£4,053,783.73",Allowances included within salary.
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,7,7,71,70.47,53,51.76,8,7.1,0,0,144.0,141.3,3,1.62,0,0,4,1.92,0,0,7,3.54,151.0,144.9,"£485,264.00","£13,033.05","£1,000.00",,"£104,840.60","£54,883.85","£659,021.50","£28,995.58",,"£28,995.58","£659,021.50",
