Organisation name,Organisation type,"Main, parent or sponsoring department",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Grand total Paybill/Staffing (payroll and non-payroll) costs,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",16,14.3,34,30.7,90,86.1,17,16.3,0,0,,,157,147.5,,,,,,,,,0,0,157,147,"£417,131.72","£12,712.22","£65,586.60",£138.42,"£108,901.93","£50,058.50","£654,529.39",£0.00,£0.00,£0.00,"£654,529.39",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,51.8,37,33.8,156,147.3,43,40.5,3,3,,,295,276.4,,,,,,,,,0,0,295,276,"£816,591.16","£19,379.25","£88,880.39",£724.61,"£217,631.67","£94,641.67","£1,237,848.75",£0.00,£0.00,£0.00,"£1,237,848.75",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1033,1003,2101,1826.8,1796,1630.5,216,199.2,19,18.9,,,5165,4678.4,,,25,25,,,,,25,25,"5,190","4,703","£11,111,472.02","£251,097.43","£1,856.61","£627,327.53","£2,541,165.74","£1,517,642.22","£16,050,561.55","£268,491.51","£248,550.80","£517,042.31","£16,567,603.86",
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,63,63,91,91,204,204,18,18,,,376,376,20,20,,,,,,,20,20,396,396,"£1,224,481.83","£245,534.10",£0.00,£0.00,"£400,843.04","£182,009.37","£2,052,868.34","-£181,290.78",£0.00,"-£181,290.78","£1,871,577.56",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",523,489.3,195,187.2,729,697.7,114,110.8,10,10,,,1571,1495,58,58,,,17,17,,,75,75,"1,646","1,570","£3,982,823.00","£11,507.00","£30,850.00","£38,334.00","£831,284.00","£415,374.00","£5,310,172.00","£484,058.00",£0.00,"£484,058.00","£5,794,230.00",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",195,175.3,365,339.9,345,332.9,283,265.9,27,27,,,1215,1141,28,26.6,,,21,21,,,49,48,"1,264","1,189","£3,095,703.00","£139,996.00","£25,034.00","£101,025.00","£703,785.00","£421,127.00","£4,486,670.00","£269,646.00",£0.00,"£269,646.00","£4,756,316.00",These figures are subject to change due to year end.
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",195,180,282,270,755,738,99,96,68,64,18,9,1417,1357,7,7,20,20,1,1,1,1,29,29,"1,446","1,386","£4,104,220.00","£221,130.00","£591,749.00","£10,066.00","£559,112.00","£545,171.00","£6,031,448.00","£155,750.00",£0.00,"£155,750.00","£6,187,198.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,2000,1908.1,2000,1908.1,18,15.9,,,65,64.2,36,35.3,119,115,"2,119","2,024","£5,704,567.00","£364,176.00",£303.00,"£151,038.00","£1,253,191.00","£645,815.00","£8,119,090.00","£553,328.00",£0.00,"£553,328.00","£8,672,418.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",227,195.4,413,382,1236,1177.4,317,301,22,21.8,272,269.3,2487,2346.9,5,4.3,,,3,3,,,8,7,"2,495","2,354","£6,672,058.40","£393,761.58","£21,800.00","£30,521.29","£1,680,892.33","£724,621.20","£9,523,654.80","£124,680.73",,"£124,680.73","£9,648,335.53",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,220,210,220,210,7,7,31,31,,,,,38,38,258,248,"£1,293,629.78","£56,622.00","£372,976.00",,"£267,055.00","£207,802.00","£2,198,084.78","£287,756.00","£354,331.00","£642,087.00","£2,840,171.78",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",151,143.5,300,289.7,1180,1145.3,408,391.3,40,35.2,55,48,2134,2053,34,34,,,,,34,34,68,68,"2,202","2,121","£6,381,563.00","£402,008.85","£1,868.00","£102,681.05","£1,701,973.01","£741,600.01","£9,331,693.92","£219,529.12",£0.00,"£219,529.12","£9,551,223.04",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.8,107,103,497,488.2,164,158.9,11,11,34,34,871,849.9,4,4,,,323,323,,,327,327,"1,198","1,177","£3,066,232.78",£0.00,"£127,748.41","£61,336.83","£531,672.42","£387,146.09","£4,174,136.53","£1,328,177.85",£0.00,,"£4,174,136.53",Allowances included in salary.
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,8,8,75,74.5,55,53.8,8,7.1,,,151,148.3,1,1,,,6,6,,,7,7,158,155,"£521,621.38","£6,272.15","£3,550.00",£0.00,"£113,297.28","£58,339.84","£703,080.65","£58,739.44",£0.00,"£58,739.44","£761,820.09",
