Organisation name,Organisation type,"Main, parent or sponsoring department",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Grand total Paybill/Staffing (payroll and non-payroll) costs,Comments
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.33,34,31.1,94,89.52,17,16.33,0,0,0,0,160,150.28,0,0,0,0,0,0,0,0,0,0,160,150.28,"£394,025.56","£4,810.60","£1,300.00",£0.00,"£101,778.19","£38,668.76","£540,583.11",£0.00,£0.00,£0.00,"£540,583.11",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,51.71,40,36.4,151,143.16,45,41.72,1,1,0,0,293,273.99,0,0,0,0,0,0,0,0,0,0,293,273.99,"£1,018,405.32","£24,903.99","£11,500.00","£3,924.50","£241,954.49","£78,611.05","£1,379,299.35",£0.00,£0.00,£0.00,"£1,379,299.35",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1022,991.91,2096,1818.54,1787,1622.26,211,194.71,19,18.92,0,0,5135,4646.34,0,0,41,41,0,0,0,0,41,41,5176,4687.34,,"£235,367.21",£0.00,"£352,776.98","£2,315,385.09","£1,229,879.76","£4,133,409.04","£272,761.23",£0.00,"£272,761.23",4406170.27,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)", -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,Data not available due to a new finance system.
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,57,55.71,90,89,203,199.35,19,17.9,0,0,369,361.96,18,17.38,0,0,0,0,0,0,18,17.38,387,379.34,"£1,464,871.63","£159,740.34",£0.00,£0.00,"£354,699.45","£184,429.42","£2,163,740.84","£246,091.85",£0.00,"£246,091.85","£2,409,832.69",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",199,179.22,363,337.09,341,328.36,285,268.01,26,26,0,0,1214,1138.68,27,26.6,0,0,21,20.6,0,0,48,47.2,1262,1185.88,"£3,163,635.00","£139,137.00","£3,058.00",,"£703,509.00","£276,834.00","£4,286,173.00","£293,723.00",,"£293,723.00","£4,579,896.00",April's figures are subject to change due to year end.
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",185,170,266,254,686,670,99,96,60,57,15,6,1311,1253,4,4,22,22,0,0,1,1,27,27,1338,1280,"£3,767,558.00","£225,209.00",£0.00,"£10,325.00","£572,216.00","£422,661.00","£4,997,969.00","£161,295.00",£0.00,"£161,295.00","£5,159,264.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,1990,1899,1990,1899,28,24.2,,,58,57.3,34,34,120,115.5,2110,2014.5,"£5,680,068.00","£364,208.00",£47.00,"£211,250.00","£1,250,092.00","£639,384.00","£8,145,049.00","£587,737.00","£288,434.00","£876,171.00","£9,021,220.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",229,197.2,426,394.4,1232,1175.8,358,341.2,22,21.8,239,235.8,2506,2366.2,4,3.6,0,0,3,3,0,0,7,6.6,2513,2372.8,"£7,082,453.88","£338,094.89","£22,690.31","£63,094.66","£1,809,862.20","£757,038.89","£10,073,234.83","£46,394.38",£0.00,"£46,394.38","£10,119,629.21",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,221,210.5,221,210.5,9,9,31,30,,,,,40,39,261,249.5,"£1,197,895.00","£71,728.00","£275,000.00",,"£249,280.00","£182,845.00","£1,976,748.00","£250,000.00",,"£250,000.00","£2,226,748.00",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,142.5,303,292.5,1181,1145.5,409,391.8,44,37.2,51,48,2138,2057.5,16,16,0,0,17,17,0,0,33,33,2171,2090.5,"£6,353,275.00","£384,562.34",£850.00,"£107,508.59","£1,653,395.10","£729,572.06","£9,229,163.09","£119,452.60",£0.00,"£119,452.60","£9,348,615.69",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,53.61,106,102.65,507,497.5,167,161.22,11,10.5,34,34,882,859.48,4,4,0,0,305,305,0,0,309,309,1191,1168.48,"£3,608,901.89",£0.00,"£100,000.00","£59,117.88","£533,727.72","£241,957.85","£4,543,705.34","£1,297,250.48",£0.00,"£1,297,250.48","£5,840,955.82",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,8,8,78,77.47,57,54.76,8,7.2,0,0,156,152.43,1,0.71,0,0,6,4.74,0,0,7,5.45,163,157.88,"£534,557.98","£8,653.39","£6,250.00",£0.00,"£112,533.50","£59,908.51","£721,903.38","£66,014.48",£0.00,"£66,014.48","£787,917.86",
