Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",462,406,265,254,140,136,34,33,5,4,0,0,906,833,0,0,0,0,0,0,20,20,20,20,926,853,"£1,971,078.46","£32,016.60",£0.00,"£50,172.07","£401,568.03","£195,296.54","£2,650,131.70",£0.00,"£218,535.65","£218,535.65","£2,868,667.35",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,1,1,7,6.6,4,4,1,1,0,0,18,17.6,0,0,0,0,0,0,0,0,0,0,18,18,"£68,902.45",£0.00,"£7,160.00",£0.00,"£14,719.46","£8,791.76","£99,573.67",£0.00,"£1,525.00","£1,525.00","£101,098.67",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),399,369.19,594,579.93,285,279.16,16,16,5,5,0,0,"1,299","1,249.27",67,54.02,0,0,63,32.62,1,1,131,88,"1,430","1,337","£3,176,554.43","£167,717.96","£35,721.17","£32,888.57","£399,106.69","£333,278.83","£4,145,267.65","£538,109.89","£2,259.70","£540,369.59","£4,685,637.24",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.35,31,28.78,76,71.47,17,16.72,4,4,0,0,142,133.32,0,0,0,0,0,0,0,0,0,0,142,133,"£367,295.54","£2,163.22",£100.00,"£2,219.27","£93,192.30","£37,734.00","£502,704.33",£0.00,£0.00,£0.00,"£502,704.33",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),13,13,25,24,21,21,5,5,0,0,0,0,64,63,0,0,1,1,0,0,0,0,1,1,65,64,"£228,912.00","£18,938.00",£0.00,£0.00,"£31,520.00","£26,431.00","£305,801.00","£8,000.00",£0.00,"£8,000.00","£313,801.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",70,65.25,42,39.84,153,144.22,32,30.53,4,4,0,0,301,283.84,0,0,0,0,1,1,0,0,1,1,302,285,"£737,211.10","£10,128.78","£34,500.00","£1,685.48","£191,480.99","£76,406.87","£1,051,413.22","£1,934.28",£0.00,"£1,934.28","£1,053,347.50",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),29,24,6,5,184,169,100,90,33,31,0,0,352,319,18,17,0,0,0,0,0,0,18,17,370,336,"£1,086,159.55","£6,552.35",£0.00,"£3,297.29","£221,676.38","£114,624.46","£1,432,310.03","£149,040.27",£0.00,"£149,040.27","£1,581,350.30",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,36,36,60,60,172,172,9,9,0,0,277,277,17,17,0,0,0,0,0,0,17,17,294,294,"£1,143,620.14","£131,942.59",£0.00,£0.00,"£286,511.98","£151,111.56","£1,713,186.27","£166,229.99",£0.00,"£166,229.99","£1,879,416.26",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",488,454.98,180,171.92,612,583.23,95,93.53,8,8,0,0,"1,383","1,311.66",46,46,0,0,8,8,0,0,54,54,"1,437","1,366","£3,430,532.00","£8,390.00",£0.00,"£7,255.00","£726,827.00","£351,341.00","£4,524,345.00","£306,438.18",£0.00,"£306,438.18","£4,830,783.18",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",198,177,391,371.15,288,280.77,272,255.21,25,25,0,0,"1,174","1,109.13",29,29,0,0,15,15,0,0,44,44,"1,218","1,153","£3,008,688.00","£140,098.00","£12,772.00","£63,124.00","£684,257.00","£336,980.00","£4,245,919.00","£94,001.00",£0.00,"£94,001.00","£4,339,920.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",721,696.49,"2,175","1,896.48","1,727","1,578.54",199,184.3,16,16,0,0,"4,838","4,371.81",0,0,16,16,0,0,0,0,16,16,"4,854","4,388",,206802.97,0,630339.85,2173457.03,1059989.88,4070589.73,144970.67,-92320,52650.67,4123240.4,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",220,204,334,319,926,908,127,122,84,80,31,18,"1,722","1,651.00",6,6,22,22,2,2,0,0,30,30,"1,752","1,681","£4,873,407.00","£334,643.00",£0.00,"£11,700.00","£651,911.00","£538,497.00","£6,410,158.00","£299,628.00",£0.00,"£299,628.00","£6,709,786.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,"2,096","2,005.50","2,096","2,005.50",10,6.54,0,0,95,95,0,0,105,102,"2,201","2,107","£5,550,122.00","£269,444.00","£11,050.00","£187,474.00","£1,236,572.00","£613,814.00","£7,868,476.00","£465,931.00",£0.00,"£465,931.00","£8,334,407.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",233,202.9,415,387.4,"1,203","1,149.00",364,345.9,24,23.2,329,326.8,"2,568","2,435.20",7,6.7,0,0,2,2,0,0,9,9,"2,577","2,444","£6,782,732.61","£314,971.56","£19,375.00","£32,782.05","£1,694,097.75","£718,852.57","£9,562,811.54","£137,619.02",£0.00,"£137,619.02","£9,700,430.56",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,211,202.4,211,202.4,4,4,33,33,3,3,0,0,40,40,251,242,"£1,151,329.00","£65,892.00","£141,185.00",£0.00,"£251,843.00","£165,607.00","£1,775,856.00","£351,122.00",£0.00,"£351,122.00","£2,126,978.00",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,143.72,283,272.66,"1,141","1,114.77",397,380.51,38,35.28,48,48,"2,057","1,994.94",6,6,0,0,65,65,0,0,71,71,"2,128","2,066","£6,055,584.00","£327,169.21",£0.00,"£67,953.68","£1,548,408.00","£684,281.76","£8,683,396.65","£270,455.59",£0.00,"£270,455.59","£8,953,852.24",
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),"1,979","1,863.88",758,725.92,157,153.33,20,20,6,6,0,0,"2,920","2,769.13",0,0,0,0,22,22,0,0,22,22,"2,942","2,791","£5,135,331.17","£155,826.42","£5,795.25","£77,357.24","£578,975.52","£460,248.81","£6,413,534.41","£283,348.09",£0.00,"£283,348.09","£6,696,882.50",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",51,47.45,93,89.15,414,407.46,148,143.86,10,10,25,25,741,722.92,5,5,0,0,350,350,0,0,355,355,"1,096","1,078","£2,554,000.00",£0.00,"£83,300.00","£53,400.00","£370,900.00","£300,200.00","£3,361,800.00","£1,350,041.75",£0.00,"£1,350,041.75","£4,711,841.75",
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),0,0,3,2.7,4,3.8,1,1,1,1,0,0,9,8.5,0,0,0,0,1,1,0,0,1,1,10,10,"£133,963.88",£0.00,£0.00,£0.00,"£21,302.31","£15,304.20","£170,570.39","£7,821.00",£0.00,"£7,821.00","£178,391.39",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,4,4,39,36,46,42.95,7,6.3,0,0,98,91,2,1.5,0,0,8,5.5,0,0,10,7,108,98,"£316,917.02","£9,408.36","£2,650.00",,"£69,292.22","£37,221.54","£435,489.65","£175,953.65",£0.00,"£175,953.65","£611,442.79",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas Authority (OGA) no longer applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
