Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",20,17,35,32,19,19,5,5,,,2,0.012,81,73,,,,,,,,,0,0,81,73,"£248,700.00","£20,038.00",£0.00,£0.00,"£63,533.00","£24,334.00","£356,605.00",,,£0.00,"£356,605.00",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",41,38.36,37,34.47,133,124.81,30,28.62,4,4,,,245,230,,,,,1,1,,,1,1,246,231,"£614,492.56","£13,905.96","£2,260.00","£3,083.76","£156,793.15","£44,641.55","£835,176.98","£11,592.00",,"£11,592.00","£846,768.98",,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",14,11.47,31,29.61,79,75.27,17,16.91,2,1.95,,,143,135,3,3,,,,,,,3,3,146,138,"£366,571.59","£2,102.44",,£156.93,"£91,275.51","£26,155.62","£486,262.09","£6,642.84",,"£6,642.84","£492,904.93",,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",22,18.35,10,9.3,155,137.48,75,68.34,31,30.39,,,293,264,8,7.5,,,,,,,8,7.5,301,271,"£874,406.08","£2,208.00",£0.00,£889.18,"£177,821.43","£74,104.49","£1,129,429.18","£23,679.67","£34,609.44","£58,289.11","£1,187,718.29",,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",512,474.5178,231,218.0804,654,626.7573,92,91.8378,6,5.6757,0,0,"1,495","1,417",104,104,,,21,21,,,125,125,"1,620","1,542","£3,664,341.34","£8,947.36",£0.00,£803.90,"£766,795.18","£291,040.24","£4,731,928.02","£275,939.61",,"£275,939.61","£5,007,867.63",,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",253,232.89,2066,1802.38,1748,1606.44,186,172.16,13,13,,,"4,266","3,827",0,0,27,27,0,0,,,27,27,"4,293","3,854","£9,392,071.35","£219,913.17","£4,456,135.89","£356,280.89","£1,992,208.41","£1,231,948.44","£17,648,558.15","£577,617.80",,"£577,617.80","£18,226,175.95",Corporate performance award paid in July.,
Met Office,Executive Agency,"Department for Business, Innovation and Skills",,,,,,,,,,,2143,2060.5,"2,143","2,061",102,96.4,,,,,,,102,96.4,"2,245","2,157","£5,537,264.00","£348,869.00",£0.00,"£157,955.00","£1,236,351.00","£850,046.00","£8,130,485.00","£663,771.00",,"£663,771.00","£8,794,256.00",,Met Office has generic roles not grades
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",262,243,400,381.2,1084,1059.1,139,132.3,92,87.1,24,11.2,"2,001","1,914",4,4,23,23,3,3,0,0,30,30,"2,031","1,944","£5,516,871.00","£332,827.00",£0.00,"£12,610.00","£721,955.00","£477,068.00","£7,061,331.00","£455,745.00",£0.00,"£455,745.00","£7,517,076.00",,
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",239,219.6,420,393.2,1105,1053.9,346,331.5,22,21.5,240,237,"2,372","2,257",8,8,,,1,1,,,9,9,"2,381","2,266","£6,715,900.50","£181,191.52","£47,815.40","£21,529.95","£1,704,581.49","£538,865.03","£9,209,883.89","£100,963.61",,"£100,963.61","£9,310,847.50",,
National Measurement Office,Executive Agency,"Department for Business, Innovation and Skills",5,4.29,20,19.26,39,38.18,14,12.9,0,0,0,0,78,75,2,2,,,,,,,2,2,80,77,"£233,411.97",£394.25,£650.00,,"£48,545.07","£18,874.05","£301,875.34","£3,152.69",,"£3,152.69","£305,028.03",,
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",0,0,2,1.6,11,10.68,5,4.5,2,1.6,0,0,20,18,1,1,0,0,0,0,0,0,1,1,21,19,"£72,100.63",,,£667.17,"£11,918.79","£5,093.96","£89,780.55",,,£0.00,"£89,780.55",All existing specialist contractor contracts were terminated on May 1st 2015,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation and Skills",86,81.65,0,0,685,666.19,94,93.81,23,23,0,0,888,865,22,22,0,0,0,0,42,42,64,64,952,929,"£2,819,838.26","£75,289.56",£0.00,£615.62,"£609,874.19","£253,096.91","£3,758,714.54",£0.00,"£628,949.00","£628,949.00","£4,387,663.54",,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",1943,1823.087547,734,700.0969067,107,104.3133333,20,19.4,6,6,7,0.96,"2,817","2,654",135,135,0,0,12,12,0,0,147,147,"2,964","2,801","£4,841,306.19","£158,872.55","£789,338.25","£145,700.90","£536,966.80","£445,955.03","£6,918,139.72","£372,908.70",£0.00,"£372,908.70","£7,291,048.42",,
Science and Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",129,123.89,262,250.24,1060,1035.9,344,333.46,35,33.28,82,82,"1,912","1,859",6,6,0,0,63,63,,,69,69,"1,981","1,928","£5,475,866.98","£269,362.45","£3,507.30","£107,189.71","£1,385,346.95","£477,246.45","£7,718,519.84","£204,518.58",,"£204,518.58","£7,923,038.42",,
Technology Strategy Board (Innovate UK),Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",,,53,53,47,47,186,186,7,7,,,293,293,9,9,,,,,,,9,9,302,302,"£1,202,637.12","£142,167.34",,,"£295,018.75","£128,572.91","£1,768,396.12","£211,375.19",,"£211,375.19","£1,979,771.31",,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",53,50.32,93,90.57,372,367.36,132,128.6,9,9,19,19,678,665,4,4,0,0,415,415,0,0,419,419,"1,097","1,084","£2,322,490.00",£0.00,"£75,148.00","£38,371.00","£325,416.00","£179,514.00","£2,940,939.00","£1,573,337.77",£0.00,"£1,573,337.77","£4,514,276.77",Allowances included within salary. Performance payments are acrued during the year for payment.,
UK Commission for Employment and Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",21,20.5,15,14.6,53,51.4,14,13.7,5,5,0,0,108,105,1,1,0,0,2,2,0,0,3,3,111,108,"£348,028.93",£0.00,£0.00,£0.00,"£65,925.33","£30,524.25","£444,478.51","£23,739.30",,"£23,739.30","£468,217.81",,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation and Skills",226,202.15,300,283.85,317,309.03,249,234.12,26,25.55,,,"1,118","1,055",9,9,,,30,30,,,39,39,"1,157","1,094","£2,831,484.00","£122,152.00","£15,297.00","£80,971.00","£629,801.00","£187,321.00","£3,867,026.00","£535,528.00",,"£535,528.00","£4,402,554.00",,
UK Space Agency,Executive Agency,"Department for Business, Innovation and Skills",3,3,5,5,27,26.6,30,28.88,5,4.7,,,70,68,,,,,1,0.4,,,1,0.4,71,69,"£227,509.67","£2,329.81",£250.00,£0.00,"£47,974.90","£19,142.46","£297,206.84","£1,512.00",,"£1,512.00","£298,718.84",,"Within the staff on payroll are included 1.4 FTE inward secondees from industry and academia (whose pay costs are met by UKSA). There are 3 members of staff who joined the Agency during the month whose pay costs were not processed in time for June pay run (will be backdated in July). In addition, UKSA benefited from further 3 FTE inward secondees provided at nil cost as part of their personal development - these FTEs were excluded from this return to avoid double counting by home departments."
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
