Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",463,407.00,262,251.00,139,135.00,36,35.00,4,3.00,0,0.00,904,831.00,1,1.00,0,0.00,0,0.00,19,19.00,20,20,924,851,"£1,811,250.40","£34,159.82",£0.00,"£39,199.97","£378,939.67","£173,284.24","£2,436,834.10","£1,476.90","£124,273.75","£125,750.65","£2,562,584.75",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,1,1.00,7,6.60,4,4.00,1,1.00,0,0.00,18,17.60,0,0.00,0,0.00,0,0.00,1,1.00,1,1,19,19,"£60,250.13",£0.00,£0.00,£0.00,"£13,003.31","£6,609.67","£79,863.11",£0.00,"£2,725.00","£2,725.00","£82,588.11",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),411,379.86,592,578.42,302,296.46,19,19.00,4,4.00,0,0.00,"1,328","1,277.74",94,60.20,1,0.78,95,61.18,2,2.00,192,124,"1,520","1,402","£3,242,854.85","£169,473.70",£0.00,"£41,159.55","£444,505.53","£323,513.86","£4,221,507.49","£669,219.85","£16,834.20","£686,054.05","£4,907,561.54",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.35,34,31.78,75,69.66,17,16.72,2,2.00,0,0.00,142,132.51,0,0.00,0,0.00,0,0.00,0,0.00,0,0,142,133,"£360,221.20","£3,572.90",£200.00,£593.98,"£91,938.40","£36,138.82","£492,665.30",£0.00,£0.00,£0.00,"£492,665.30",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),11,8.00,37,36.00,16,16.00,5,5.00,0,0.00,1,0.00,70,65.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,70,65,"£248,828.00","£18,967.00",£0.00,£0.00,"£52,680.00","£28,522.00","£348,997.00",£0.00,£0.00,£0.00,"£348,997.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",40,37.01,25,23.33,143,134.41,34,32.72,4,4.00,0,0.00,246,231.47,0,0.00,0,0.00,2,2.00,0,0.00,2,2,248,233,"£640,624.67","£6,164.29","£1,400.00","£2,533.05","£167,024.70","£60,550.94","£878,297.65","£1,934.28",£0.00,"£1,934.28","£880,231.93",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),28,23.00,7,6.00,183,167.00,99,89.00,33,32.00,0,0.00,350,317.00,22,21.00,0,0.00,0,0.00,0,0.00,22,21,372,338,"£1,018,687.07","£3,772.97","£150,500.00","£2,675.01","£208,766.05","£127,515.11","£1,511,916.21","£180,611.31",£0.00,"£180,611.31","£1,692,527.52",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,36,36.00,63,63.00,166,166.00,9,9.00,0,0.00,274,274.00,18,18.00,0,0.00,0,0.00,0,0.00,18,18,292,292,"£1,080,207.02","£256,360.17",£0.00,£0.00,"£267,507.49","£114,678.23","£1,718,752.91","£103,362.28",£0.00,"£103,362.28","£1,822,115.19",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",494,460.41,178,169.56,607,578.39,95,93.53,8,8.00,0,0.00,"1,382","1,309.89",44,44.00,0,0.00,8,8.00,0,0.00,52,52,"1,434","1,362","£3,426,474.00","£8,127.00",£0.00,"£10,143.00","£710,082.00","£351,035.00","£4,505,861.00","£732,283.35",£0.00,"£732,283.35","£5,238,144.35",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",211,188.54,383,365.24,287,280.40,266,248.75,25,25.00,0,0.00,"1,172","1,107.93",20,20.00,0,0.00,15,15.00,0,0.00,35,35,"1,207","1,143","£3,410,493.00","£140,027.00","£11,006.00","£65,436.00","£684,342.00","£397,593.00","£4,708,897.00","£161,735.00",£0.00,"£161,735.00","£4,870,632.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",555,530.27,"2,204","1,925.38","1,705","1,561.04",200,185.84,16,16.00,0,0.00,"4,680","4,218.53",0,0.00,16,16.00,0,0.00,0,0.00,16,16,"4,696","4,235",,217746.26,-54.46,999899.65,2124190.83,1107561.17,4449343.45,246855.98,0,246855.98,4696199.43,Salary staff data missing.
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",219,202.00,345,330.00,988,966.00,128,122.00,85,80.00,31,19.00,"1,796","1,719.00",7,7.00,24,24.00,4,4.00,0,0.00,35,35,"1,831","1,754","£5,064,685.00","£320,406.00",£0.00,"£11,457.00","£677,273.00","£556,836.00","£6,630,657.00","£295,019.00",£0.00,"£295,019.00","£6,925,676.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,108","2,017.80","2,108","2,017.80",9,6.54,0,0.00,100,100.00,0,0.00,109,107,"2,217","2,124","£5,563,994.00","£302,987.00",£0.00,"£154,882.00","£1,234,834.00","£610,093.00","£7,866,790.00","£598,098.00",£0.00,"£598,098.00","£8,464,888.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",238,209.80,417,390.60,"1,197","1,143.50",364,345.70,22,21.50,335,332.80,"2,573","2,443.90",5,4.70,0,0.00,2,2.00,0,0.00,7,7,"2,580","2,451","£6,799,678.26","£190,020.55","£40,030.00","£33,405.94","£1,683,009.77","£708,098.66","£9,454,243.18","£129,267.96",£0.00,"£129,267.96","£9,583,511.14",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,208,199.52,208,199.52,3,3,34,34,3,3,,,40,40,248,239.52,"£1,091,123.00","£66,238.24","£254,276.00",,"£232,703.00","£171,638.00","£1,815,978.24","£338,320.00",,"£338,320.00","£2,154,298.24",
Oil & Gas Authority (OGA),Other,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.42,10,9.92,67,65.87,42,42,7,6.9,,,135,133.11,2,2,0,0,16,16,0,0,18,18,153,151.11,"£568,459.33","£87,667.25","-£92,096.01",£0.00,"£129,516.23","£75,288.77","£768,835.57","£187,892.40","£2,239.38","£190,131.78","£958,967.35",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,144.96,283,272.74,"1,137","1,112.41",395,379.88,39,36.69,57,57.00,"2,061","2,003.68",6,6.00,0,0.00,70,70.00,0,0.00,76,76,"2,137","2,080","£6,086,112.00","£374,044.67","£8,156.42","£115,702.80","£1,558,688.00","£699,973.22","£8,842,677.11","£222,906.76",£0.00,"£222,906.76","£9,065,583.87",
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),"1,998","1,884.91",730,704.42,151,147.27,19,19.00,6,6.00,0,0.00,"2,904","2,761.60",1,1.00,0,0.00,28,28.00,0,0.00,29,29,"2,933","2,791","£5,000,008.12","£151,877.21","£6,753.75","£253,528.07","£566,304.09","£466,396.63","£6,444,867.87","£283,080.83",£0.00,"£283,080.83","£6,727,948.70",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,53.05,85,81.54,403,396.45,149,144.87,10,10.00,25,25.00,729,710.91,4,4.00,0,0.00,388,388.00,0,0.00,392,392,"1,121","1,103","£2,543,715.45",£0.00,"£83,195.63","£65,339.43","£372,976.20","£299,292.71","£3,364,519.42","£1,784,403.00",£0.00,"£1,784,403.00","£5,148,922.42",Employee Allowances included within salary costs.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),1,1.00,9,8.70,20,18.60,6,6.00,2,2.00,0,0.00,38,36.30,2,2.00,0,0.00,2,2.00,0,0.00,4,4,42,40,"£133,598.93",£0.00,£0.00,£0.00,"£26,656.50","£14,383.10","£174,638.53","£24,044.43",£0.00,"£24,044.43","£198,682.96",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,5,5,33,32.59,42,38.95,7,6.3,0,0,89,85,0,0,0,0,8,4,0,0,8,4,97,89,"£291,686.18","£4,058.39","£1,750.00",,"£63,747.94","£33,288.55",394531.06,109593.56,0,109593.56,504124.62,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
