Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Engineering Construction Industry Training Board (ECITB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",42,39.11,31,30.35,137,129.06,31,29.72,4,4,0,0,245,232.24,0,0,0,0,2,2,0,0,2,2,247,234,"£649,118.65","£11,064.97","£1,500.00","£2,711.96","£165,738.75","£64,797.46","£894,931.79","£13,344.66",£0.00,"£13,344.66","£908,276.45",
Higher Education Funding Council for England (HEFCE),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",28,24,9,8,159,145,94,84.5,33,32,0,0,323,293.5,13,13,0,0,0,0,0,0,13,13,336,307,"£959,542.06","£11,662.28",£0.00,"£1,207.64","£194,213.98","£102,250.66","£1,268,876.62","£162,157.42",£0.00,"£162,157.42","£1,431,034.04",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Insolvency Service,Executive agency,"Department for Business, Innovation & Skills (BIS)",465,429.59,177,168.46,604,576.79,99,98.07,7,7,0,0,"1,352","1,279.91",103,103,0,0,14,14,0,0,117,117,"1,469","1,397","£3,438,245.00",£0.00,£0.00,"£3,740.00","£720,248.00","£361,138.00","£4,523,371.00","£431,070.76",£0.00,"£431,070.76","£4,954,441.76",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Innovation & Skills (BIS)",216,192.34,357,338.14,299,289.65,260,242.97,26,26,0,0,"1,158","1,089.10",16,16,16,0,24,24,0,0,56,40,"1,214","1,129","£2,941,870.00","£135,886.00","£38,594.00","£38,133.00","£653,378.00","£342,067.00","£4,149,928.00","£365,747.00",£0.00,"£365,747.00","£4,515,675.00",
Land Registry,Non-ministerial department,"Department for Business, Innovation & Skills (BIS)",420,398.7,"2,228","1,953.40","1,703","1,559.30",199,184.4,17,17,0,0,"4,567","4,112.80",0,0,10,10,0,0,0,0,10,10,"4,577","4,123","£9,908,331.39","£210,826.36",-£655.23,"£713,825.05","£2,101,859.58","£1,054,345.07","£13,988,532.22","£105,203.66","£800,800.00","£906,003.66","£14,894,535.88",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",240,224,359,342,"1,040","1,017.00",141,135,87,82,29,20,"1,896","1,820.00",5,5,24,24,3,3,0,0,32,32,"1,928","1,852","£5,489,211.00","£338,425.00",£0.00,"£11,218.00","£710,868.00","£607,337.00","£7,157,059.00","£375,092.00",£0.00,"£375,092.00","£7,532,151.00",
Met Office,Executive agency,"Department for Business, Innovation & Skills (BIS)",0,0,0,0,0,0,0,0,0,0,"2,207","2,120.20","2,207","2,120.20",7,5.97,0,0,75,74.2,0,0,82,80,"2,289","2,200","£5,739,618.00","£342,039.00","£7,500.00","£144,430.00","£1,266,865.00","£638,415.00","£8,138,867.00","£520,392.00",£0.00,"£520,392.00","£8,659,259.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",245,216.675,455,427.0176,1190,1137.6446,362,343.4322,23,22.454,221,218,2496,2365.2234,6,6,,,2,2,,,8,8,2504,2373.2234,"£7,170,086.86","£219,156.88","£10,003.00","£25,523.56","£1,836,267.28","£752,948.60","£10,013,986.18","£108,805.15",,"£108,805.15",N223,
Office for Fair Access (OFFA),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",0,0,4,3.5,16,13.14,5,5,2,1.6,0,0,27,23.24,0,0,0,0,0,0,0,0,0,0,27,23,"£72,466.76",£0.00,£0.00,£274.83,"£13,860.27","£7,511.28","£94,113.14",£0.00,£0.00,£0.00,"£94,113.14",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",143,137,284,272.9,"1,109","1,085.28",381,366.7,36,33.78,82,82,"2,035","1,977.66",7,7,0,0,0,0,73,73,80,80,"2,115","2,058","£5,947,723.84","£354,850.05",£0.00,"£92,509.66","£1,520,996.77","£678,560.44","£8,594,640.76","£305,602.30",£0.00,"£305,602.30","£8,900,243.06",
Skills Funding Agency (SFA),Executive agency,"Department for Business, Innovation & Skills (BIS)",52,50.2,30,28.85,491,478.11,95,94.49,17,17,0,0,685,668.65,5,5,0,0,45,45,0,0,50,50,735,718.65,"£2,209,493.66","£32,979.15",£0.00,£655.52,"£472,058.76","£246,345.19","£2,961,532.28","£649,846.00",£0.00,"£649,846.00","£3,611,378.28",
Student Loans Company Ltd,Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)","2,125","2,008.49",716,683.12,133,129.89,18,18,5,5,10,1.28,"3,007","2,845.78",12,12,0,0,23,23,0,0,35,35,"3,042","2,881","£5,142,187.95","£176,846.37","£8,103.00","£166,439.63","£532,167.14","£453,645.38","£6,479,389.47","£191,139.00",£0.00,"£191,139.00","£6,670,528.47",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",51,47.66,85,81.58,382,375.46,144,140.51,9,9,21,21,692,675.21,4,4,0,0,331,331,0,0,335,335,"1,027","1,010","£2,430,000.00",£0.00,"£77,300.00","£48,700.00","£346,900.00","£292,600.00","£3,195,500.00","£1,187,715.00",£0.00,"£1,187,715.00","£4,383,215.00",Allowances are included in salary costs. Non consolidated performance costs are accrued each month.June salary costs are an estimate.
UK Commission for Employment & Skills (UKCES),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",10,10,16,15.5,41,38.7,11,11,3,3,0,0,81,78.2,0,0,0,0,2,2,0,0,2,2,83,80,"£259,105.83",£0.00,£0.00,£0.00,"£52,146.09","£27,456.26","£338,708.18","£10,623.00",£0.00,"£10,623.00","£349,331.18",
UK Space Agency,Executive agency,"Department for Business, Innovation & Skills (BIS)",2,2,5,5,30,29.6,36,33.24,6,5.3,0,0,79,75.14,2,2,0,0,3,3,0,0,5,5,84,80,"£265,263.83","£3,111.15",£100.00,£0.00,"£53,346.44","£28,430.79","£350,252.21","£54,190.80",£0.00,"£54,190.80","£404,443.01",
UK Trade & Investment (UKTI),Non-ministerial department,"Department for Business, Innovation & Skills (BIS)",34,32.9,72,70.7,257,253.5,190,188,21,21,4,4,578,570,19,19,11,11,2,2,95,95,127,127,705,697,"£1,982,443.81","£67,071.30","£6,300.00","£13,154.56","£415,235.50","£232,761.42","£2,716,966.59","£546,299.00","£34,959.00","£581,258.00","£3,298,224.59",
